visitType,trapFunctioning,fishProcessed,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,counterAtEnd,visitTime,siteName,subSiteName,trapVisitID,includeCatch
continue trapping,not recorded,not recorded,NA,NA,NA,1999-02-26T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.8,3.8,NA,1999-02-26T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-02-27T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.5,4.5,NA,1999-02-27T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-02-28T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.5,4.5,NA,1999-02-28T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-01T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,5,0,NA,1999-03-01T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,4,4,NA,1999-03-05T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-06T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.5,4.5,NA,1999-03-06T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-07T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.5,4.5,NA,1999-03-07T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,3.8,3.8,NA,1999-03-08T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-09T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4,4,NA,1999-03-09T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-10T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4,4,NA,1999-03-10T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-11T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-11T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-12T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4,4,NA,1999-03-12T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-13T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.25,4.25,NA,1999-03-13T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-14T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.5,3.5,NA,1999-03-14T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-15T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-15T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-16T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.5,3.5,NA,1999-03-16T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-17T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.75,3.75,NA,1999-03-17T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-18T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1999-03-18T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-19T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.75,2.75,NA,1999-03-19T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-20T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0,3.25,NA,1999-03-20T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-21T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1999-03-21T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-22T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.75,2.75,NA,1999-03-22T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-23T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.8,2.8,NA,1999-03-23T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-24T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1999-03-24T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-25T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.25,3.25,NA,1999-03-25T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-26T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.9,2.9,NA,1999-03-26T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1999-03-27T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1999-03-28T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-29T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.75,3.75,NA,1999-03-29T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-30T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.2,2.2,NA,1999-03-30T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-03-31T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1999-03-31T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-01T10:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1999-04-01T10:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-02T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1999-04-02T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-03T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.25,2.25,NA,1999-04-03T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-04T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.25,2.25,NA,1999-04-04T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-05T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.75,2.75,NA,1999-04-05T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-06T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1999-04-06T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-07T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1999-04-07T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-09T08:15:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1999-04-09T08:15:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-10T09:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.9,2.9,NA,1999-04-10T09:50:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-11T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.1,3.1,NA,1999-04-11T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-12T09:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.25,NA,NA,1999-04-12T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-13T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.5,3.5,NA,1999-04-13T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-14T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.5,3.5,NA,1999-04-14T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-15T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0,3,NA,1999-04-15T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-16T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-16T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-17T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.8,2.8,NA,1999-04-17T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-18T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.8,2.8,NA,1999-04-18T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-19T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.1,3.1,NA,1999-04-19T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-20T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.2,3.2,NA,1999-04-20T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-21T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1999-04-21T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-22T10:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-22T10:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-23T10:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1999-04-23T10:06:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-25T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1999-04-25T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-26T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.25,2.25,NA,1999-04-26T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-27T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,1.25,3,NA,1999-04-27T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2.3,4.25,NA,1999-04-28T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-29T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.5,4.5,NA,1999-04-29T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-04-30T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.25,4.25,NA,1999-04-30T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,4.1,4.1,NA,1999-05-01T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-02T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3.1,3.5,NA,1999-05-02T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1999-05-03T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,3.25,3.25,NA,1999-05-04T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2,2,NA,1999-05-05T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2.7,2.7,NA,1999-05-06T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2,2,NA,1999-05-07T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2,NA,NA,1999-05-08T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2.25,2.25,NA,1999-05-09T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-10T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-11T07:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,NA,NA,1999-05-11T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-12T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,1.5,1.5,NA,1999-05-12T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-13T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1999-05-13T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-14T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-14T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-15T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,1.8,1.8,NA,1999-05-15T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-16T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,1.5,1.5,NA,1999-05-16T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-17T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.25,2.25,NA,1999-05-17T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-18T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.2,2.2,NA,1999-05-18T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-19T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-19T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-20T13:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-20T13:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-21T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.6,2.6,NA,1999-05-21T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-21T09:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2,2,NA,1999-05-21T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-23T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.6,2.6,NA,1999-05-23T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-24T09:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.25,2.25,NA,1999-05-24T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-25T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.25,2.25,NA,1999-05-25T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-26T13:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1999-05-26T13:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-05-27T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2.3,2.3,NA,1999-05-27T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-01T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0,2,NA,1999-06-01T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-03T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,2,2,NA,1999-06-03T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-06T13:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,5.5,5.5,NA,1999-06-06T13:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,5.5,5.5,NA,1999-06-07T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-07T09:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-08T13:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0,5.5,NA,1999-06-08T13:15:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-10T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.5,4.5,NA,1999-06-10T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-11T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.5,4.5,NA,1999-06-11T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-12T09:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,4.5,4.5,NA,1999-06-12T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-13T07:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,5,5,NA,1999-06-13T07:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-14T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,5,5,NA,1999-06-14T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-06-15T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,5,5,NA,1999-06-15T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-11-04T08:15:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,1.5,1.5,NA,1999-11-04T08:15:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,0.9,0.9,NA,1999-11-09T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-12-31T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1999-12-31T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-06T08:45:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0.3,0.3,NA,2000-01-06T08:45:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-07T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0.2,0.2,NA,2000-01-07T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-08T09:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0.2,0.2,NA,2000-01-08T09:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-09T10:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0.1,0.1,NA,2000-01-09T10:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-10T08:40:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,0.1,NA,NA,2000-01-10T08:45:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,0.2,NA,NA,2000-01-11T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-11T08:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,0.8,NA,NA,2000-01-12T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,0.33,NA,NA,2000-01-13T07:45:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-13T07:45:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,0.7,NA,NA,2000-01-14T07:45:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-14T07:45:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-15T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0.55,0.55,NA,2000-01-15T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-16T07:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,1.2,1.2,NA,2000-01-16T08:00:00Z,parrot-phelan,pp rst,NA,Yes
not recorded,not recorded,not recorded,NA,NA,NA,2000-01-16T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-18T08:10:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0.75,0.75,NA,2000-01-18T08:10:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,0.75,0.75,NA,2000-01-20T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-20T08:30:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-21T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0.4,0.4,NA,2000-01-21T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-22T08:45:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-22T08:45:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-23T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,0.2,0.2,NA,2000-01-23T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,1.5,1.5,NA,2000-01-24T08:30:00Z,parrot-phelan,pp rst,NA,Yes
start trapping,not recorded,not recorded,NA,NA,NA,2000-01-24T08:00:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-26T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-26T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-27T08:30:00Z,parrot-phelan,canal trap box,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-27T08:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,0.4,0.4,NA,2000-01-28T08:15:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-28T08:15:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,0.28,0.28,NA,2000-01-29T11:15:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,2000-01-29T11:15:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,0.75,0.75,NA,2000-01-30T08:25:00Z,parrot-phelan,pp rst,NA,Yes
